serial number: RI70_21209061
torque: 8
start_temp: 22 (22)
finish_temp: 22 (23)
note: montaz przymiar
5.042556 0.658047 22.000000 11023.043011
5.062567 0.655895 22.000000 11067.666667
5.082577 0.658681 22.000000 11108.489011
5.102587 0.657709 22.000000 11149.016216
5.122597 0.657634 22.000000 11188.901639
5.142607 0.659112 22.000000 11226.206897
5.162617 0.657656 22.000000 11262.527174
5.182627 0.660298 22.000000 11300.472826
5.202638 0.659808 22.000000 11335.541899
5.222648 0.657051 22.000000 11371.586022
5.242658 0.662045 21.997596 11405.743169
5.262668 0.658819 21.996854 11439.376404
5.282678 0.659838 22.000000 11471.675676
5.302688 0.660288 22.000000 11502.932961
5.322698 0.658732 22.001749 11530.480874
5.342709 0.662363 22.003279 11559.475410
5.362719 0.659457 22.000440 11582.565934
5.382729 0.658216 21.996940 11607.415301
5.402739 0.661776 21.996000 11634.177778
5.422749 0.659156 21.992967 11660.648352
5.442759 0.658884 21.992967 11690.631868
5.462769 0.659432 21.991784 11718.967568
5.482780 0.658417 21.993296 11744.139665
5.502790 0.661011 21.997596 11765.229508
5.522800 0.658639 22.000000 11791.706215
5.542810 0.658600 22.000000 11814.454054
5.562820 0.659105 22.000000 11838.475676
5.582830 0.658070 22.000000 11860.348066
5.602840 0.660700 22.000000 11887.933333
5.622851 0.657853 22.000000 11912.010695
5.642861 0.658299 22.000000 11938.845304
5.662871 0.659730 22.000000 11965.541899
5.682881 0.658546 22.000000 11996.010870
5.702891 0.660073 22.000000 12023.262032
5.722901 0.658192 22.000000 12057.407821
5.742911 0.656602 22.000000 12085.160221
5.762922 0.660592 22.000000 12120.668449
5.782932 0.657276 22.000000 12151.073446
5.802942 0.658567 22.000000 12184.653846
5.822952 0.657753 22.000000 12216.145251
5.842962 0.658864 22.000000 12249.732620
5.862972 0.661174 22.000000 12281.576271
5.882982 0.656994 22.000000 12313.763736
5.902993 0.658275 22.000000 12344.153005
5.923003 0.659807 22.000000 12376.582888
5.943013 0.657700 21.994222 12404.233333
5.963023 0.659717 21.989945 12437.043716
5.983033 0.657613 21.999337 12461.845304
6.003043 0.657123 22.000000 12494.715847
6.023053 0.658113 22.000000 12522.232044
6.043064 0.657588 22.000000 12550.049451
6.063074 0.658041 22.000000 12582.054348
6.083084 0.657879 22.000000 12607.519553
6.103094 0.656392 22.000000 12635.863388
6.123104 0.661344 22.000000 12667.154255
6.143114 0.657090 22.000000 12689.134078
6.163124 0.658682 22.000000 12716.920904
6.183135 0.661149 22.000000 12744.286486
6.203145 0.658533 22.000000 12766.946237
6.223155 0.660491 22.000000 12789.278409
6.243165 0.659606 22.000000 12818.820652
6.263175 0.658542 22.000000 12843.233333
